property_id,address,city,state,zip_code,property_type,bedrooms,bathrooms,sqft,lot_size,year_built,list_price,sale_price,days_on_market,listing_date,sale_date,agent_name,agent_commission,hoa_fee,parking_spaces,pool,garage,basement,stories,condition,neighborhood_rating,school_rating,crime_rate,latitude,longitude
21,972 Laurel Lane,Raleigh,NC,27601,Single Family,3,2,1650,0.15,2012,365000,360000,38,2024-02-10,2024-03-19,David Lee,0.03,0,2,No,Yes,No,2,Good,8,9,2.5,35.7796,-78.6382
22,183 Dogwood Drive,Sacramento,CA,95814,Single Family,4,3,2350,0.25,1992,580000,565000,52,2024-01-20,2024-03-12,Sarah Johnson,0.03,0,2,Yes,Yes,Yes,2,Fair,7,7.5,4.0,38.5816,-121.4944
23,294 Hawthorn Street,Orlando,FL,32801,Townhouse,3,2.5,1700,0.07,2017,395000,400000,16,2024-03-08,2024-03-24,Robert Martinez,0.025,195,2,Yes,Yes,No,2,Excellent,7.5,8,3.8,28.5383,-81.3792
24,405 Ivy Road,Philadelphia,PA,19101,Single Family,5,4,3100,0.32,1975,820000,795000,65,2024-01-15,2024-03-20,Emily Davis,0.03,0,2,No,Yes,Yes,3,Good,8,8.5,4.5,39.9526,-75.1652
25,516 Fern Avenue,San Jose,CA,95101,Condo,2,1,950,0,2021,680000,695000,10,2024-03-14,2024-03-24,Michael Chen,0.02,500,1,No,No,No,1,Excellent,9,9.5,1.5,37.3382,-121.8863
26,627 Palm Court,Scottsdale,AZ,85251,Single Family,4,3.5,2900,0.4,2005,750000,740000,42,2024-02-05,2024-03-18,Jessica Brown,0.03,100,3,Yes,Yes,No,1,Excellent,8.5,8,2.2,33.4942,-111.9261
27,738 Olive Lane,Salt Lake City,UT,84101,Townhouse,3,2,1450,0.05,2019,420000,430000,18,2024-03-07,2024-03-25,Amanda Wilson,0.025,160,2,No,Yes,No,3,Excellent,7.5,8,3.0,40.7608,-111.891
28,849 Aspen Way,Kansas City,MO,64101,Single Family,3,2,1600,0.18,2001,285000,280000,58,2024-01-28,2024-03-26,David Lee,0.028,0,2,No,Yes,Yes,2,Good,6.5,7,4.8,39.0997,-94.5786
29,960 Mulberry Street,Indianapolis,IN,46201,Single Family,4,2.5,2050,0.22,1995,320000,315000,45,2024-02-12,2024-03-28,Sarah Johnson,0.03,0,2,No,Yes,Yes,2,Fair,6,7,5.2,39.7684,-86.158
30,171 Cherry Road,Columbus,OH,43201,Townhouse,2,1.5,1200,0.04,2013,265000,270000,25,2024-03-01,2024-03-26,Robert Martinez,0.025,140,1,No,No,No,2,Good,7,8,3.5,39.9612,-82.9988
31,282 Lemon Avenue,San Antonio,TX,78201,Single Family,5,3,2700,0.3,1990,380000,375000,55,2024-02-01,2024-03-27,Emily Davis,0.03,0,2,Yes,Yes,No,2,Fair,6.5,7,5.8,29.4241,-98.4936
32,393 Peach Lane,Detroit,MI,48201,Single Family,3,1.5,1400,0.12,1985,185000,180000,70,2024-01-18,2024-03-28,Jessica Brown,0.028,0,1,No,Yes,Yes,2,Fair,5,6,7.5,42.3314,-83.0458
33,504 Plum Court,Cleveland,OH,44101,Townhouse,2,2,1300,0.05,2011,225000,230000,32,2024-02-25,2024-03-28,Amanda Wilson,0.025,175,1,No,No,Yes,2,Good,6,7.5,5.0,41.4993,-81.6944
34,615 Apple Drive,Pittsburgh,PA,15201,Single Family,4,2.5,2150,0.2,1978,340000,335000,48,2024-02-08,2024-03-27,David Lee,0.03,0,2,No,Yes,Yes,2,Good,7,8,4.2,40.4406,-79.9959
35,726 Grape Street,Milwaukee,WI,53201,Single Family,3,2,1550,0.15,2002,275000,270000,40,2024-02-18,2024-03-29,Sarah Johnson,0.028,0,2,No,Yes,No,2,Good,6.5,7.5,4.5,43.0389,-87.9065
36,837 Mango Way,Albuquerque,NM,87101,Single Family,4,2,1850,0.25,1998,325000,320000,50,2024-02-05,2024-03-26,Robert Martinez,0.03,0,2,No,Yes,No,1,Good,6,6.5,5.5,35.0844,-106.6504
37,948 Banana Lane,Tucson,AZ,85701,Single Family,3,2,1650,0.2,2006,295000,290000,35,2024-02-22,2024-03-28,Emily Davis,0.025,0,2,Yes,Yes,No,1,Good,6.5,7,4.8,32.2226,-110.9747
38,159 Orange Court,Omaha,NE,68101,Townhouse,3,2.5,1500,0.06,2015,285000,290000,22,2024-03-06,2024-03-28,Jessica Brown,0.025,145,2,No,Yes,No,2,Excellent,7,7.5,3.2,41.2565,-95.9345
39,260 Kiwi Avenue,Oklahoma City,OK,73101,Single Family,4,2,1950,0.22,2000,265000,260000,42,2024-02-15,2024-03-28,Amanda Wilson,0.028,0,2,No,Yes,Yes,2,Good,6,6.5,5.0,35.4676,-97.5164
40,371 Melon Street,Louisville,KY,40201,Single Family,3,2,1700,0.18,2004,295000,300000,28,2024-02-28,2024-03-27,David Lee,0.03,0,2,No,Yes,Yes,2,Good,6.5,7,4.0,38.2527,-85.7585
41,482 Berry Road,Memphis,TN,38101,Single Family,4,2.5,2100,0.24,1996,285000,275000,62,2024-01-25,2024-03-27,Sarah Johnson,0.03,0,2,Yes,Yes,No,2,Fair,5.5,6,6.5,35.1495,-90.049
42,593 Fig Lane,Baltimore,MD,21201,Townhouse,3,2,1400,0.05,2012,310000,315000,30,2024-02-27,2024-03-28,Robert Martinez,0.025,200,1,No,No,Yes,3,Good,6.5,7.5,5.8,39.2904,-76.6122
43,604 Coconut Drive,Richmond,VA,23219,Single Family,4,3,2250,0.28,2008,385000,380000,38,2024-02-20,2024-03-29,Emily Davis,0.028,0,2,No,Yes,Yes,2,Good,7,8,3.5,37.5407,-77.436
44,715 Lime Street,New Orleans,LA,70112,Single Family,3,2,1800,0.15,1925,420000,410000,45,2024-02-10,2024-03-26,Jessica Brown,0.03,0,2,No,No,Yes,2,Fair,7.5,7,5.5,29.9511,-90.0715
45,826 Papaya Avenue,Jacksonville,FL,32099,Single Family,4,2.5,2050,0.2,2010,340000,345000,25,2024-03-03,2024-03-28,Amanda Wilson,0.025,0,2,Yes,Yes,No,2,Good,6.5,7,4.8,30.3322,-81.6557
46,937 Guava Court,Virginia Beach,VA,23451,Single Family,5,3,2600,0.3,2002,485000,475000,40,2024-02-18,2024-03-29,David Lee,0.03,0,2,Yes,Yes,No,2,Good,7.5,8,3.2,36.8529,-75.978
47,148 Pear Lane,Hartford,CT,06101,Townhouse,2,1.5,1150,0,2016,285000,290000,20,2024-03-08,2024-03-28,Sarah Johnson,0.025,250,1,No,No,No,2,Excellent,7,8.5,3.0,41.7658,-72.6734
48,259 Apricot Way,Providence,RI,02901,Condo,2,1,900,0,2014,325000,330000,18,2024-03-10,2024-03-28,Michael Chen,0.02,375,1,No,No,No,1,Good,7.5,8,2.8,41.824,-71.4128
49,360 Tangerine Street,Boise,ID,83701,Single Family,4,2.5,2150,0.25,2015,425000,430000,22,2024-03-05,2024-03-27,Robert Martinez,0.025,0,2,No,Yes,No,2,Excellent,7.5,8,2.0,43.615,-116.2023
50,471 Avocado Road,Honolulu,HI,96801,Condo,2,2,1050,0,2017,650000,670000,12,2024-03-15,2024-03-27,Emily Davis,0.02,600,1,Yes,No,No,1,Excellent,9,8.5,1.5,21.3069,-157.8583
